Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
UHAL,Amerco,335.54,6579197185.52,,,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,
AMRH,"Ameri Holdings, Inc.",0.278,6358818.266,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,
AMRHW,"Ameri Holdings, Inc.",0.026000000000000002,0.0,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,
ATAX,"America First Multifamily Investors, L.P.",5.85,354043526.85,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,
AMOV,"America Movil, S.A.B. de C.V.",14.09,46527096310.45,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,
AAL,"American Airlines Group, Inc.",36.22,16682260589.86,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,
AETI,"American Electric Technologies, Inc.",0.629,5608251.431,,,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti,
AFIN,"American Finance Trust, Inc.",12.79,1357318823.18,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin,
AMNB,"American National Bankshares, Inc.",36.55,318512453.05,,,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb,
ANAT,American National Insurance Company,126.9,3411763478.1,,,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat,
AOBC,American Outdoor Brands Corporation,13.52,735339901.92,,,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc,
APEI,"American Public Education, Inc.",33.32,547254044.12,,2007.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei,
ARII,"American Railcar Industries, Inc.",70.12,1338161525.36,,2006.0,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii,
AMRB,American River Bankshares,15.02,88089326.04,,,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb,
AMSWA,"American Software, Inc.",11.97,369948782.07,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa,
AMSC,American Superconductor Corporation,9.17,195908366.01,,1991.0,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc,
AMWD,American Woodmark Corporation,61.58,1083454407.64,,1986.0,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd,
CRMT,"America&#39;s Car-Mart, Inc.",75.47,519483103.82,,,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt,
ABCB,Ameris Bancorp,44.39,2109353406.18,,1994.0,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,
AMSF,"AMERISAFE, Inc.",64.56,1244069908.8,,2005.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf,
ASRV,AmeriServ Financial Inc.,4.33,78048648.36,,,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv,
ASRVP,AmeriServ Financial Inc.,27.7407,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp,
ATLO,Ames National Corporation,27.01,251487760.13,,,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo,
AMGN,Amgen Inc.,193.16,123085269171.04,,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn,
FOLD,"Amicus Therapeutics, Inc.",10.59,2004579839.79,,2007.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold,
AMKR,"Amkor Technology, Inc.",6.72,1609661484.48,,1998.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr,
AMPH,"Amphastar Pharmaceuticals, Inc.",21.59,998676841.86,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph,
IBUY,Amplify Online Retail ETF,45.67,372210500.0,,,,,https://www.nasdaq.com/symbol/ibuy,
ASYS,"Amtech Systems, Inc.",4.83,72390808.35,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys,
AFSI,"AmTrust Financial Services, Inc.",14.26,2817451527.96,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi,
AMRS,"Amyris, Inc.",6.34,319433666.06,,2010.0,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs,
ADI,"Analog Devices, Inc.",87.59,32554572321.94,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi,
ANAB,"AnaptysBio, Inc.",72.33,1738556500.83,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab,
AVXL,Anavex Life Sciences Corp.,2.61,118575706.05,,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl,
ANCB,Anchor Bancorp,26.01,64609620.3,,2011.0,Finance,Banks,https://www.nasdaq.com/symbol/ancb,
ANGI,ANGI Homeservices Inc.,17.96,8890758681.72,,,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi,
ANGO,"AngioDynamics, Inc.",21.38,793660406.64,,2004.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ango,
ANIP,"ANI Pharmaceuticals, Inc.",52.66,624421163.34,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anip,
ANIK,Anika Therapeutics Inc.,38.24,543446115.68,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/anik,
ANIX,"Anixa Biosciences, Inc.",3.75,70110547.5,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/anix,
ANSS,"ANSYS, Inc.",165.86,13981635430.04,,1996.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/anss,
